VALUES,ACTIONS,ARGUMENTS,AVERAGE LENGTH,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DIALOGUE SCORE,CONSENSUS SCORE
6,6,54,2.2,1.0,0.8,3.0,3.0
6,6,56,6.6666665,0.6,0.2,3.0,3.0
6,6,58,10.0,0.8,0.4,3.0,3.0
6,6,60,8.2,1.0,0.4,2.6,3.0
6,6,62,4.0,1.0,0.6,2.6,3.0
6,6,64,31.0,0.4,0.4,3.0,3.0
6,6,66,17.0,0.6,0.4,2.3333333,3.0
6,6,68,8.75,0.8,0.2,2.5,3.0
6,6,70,8.25,0.8,0.2,2.0,3.0
6,6,72,23.333334,0.6,0.2,2.3333333,3.0
6,8,2,2.2,1.0,0.2,1.8,3.0
6,8,4,2.5,0.8,0.0,1.5,NaN
6,8,6,2.6,1.0,0.0,2.2,NaN
6,8,8,2.75,0.8,0.6,2.0,3.0
6,8,10,7.6666665,0.6,0.0,1.6666666,NaN
6,8,12,2.6,1.0,0.4,3.0,3.0
6,8,14,6.0,0.6,0.2,1.6666666,3.0
6,8,16,3.6,1.0,0.2,2.2,3.0
6,8,18,32.0,0.2,0.2,3.0,3.0
6,8,20,4.0,0.8,0.4,1.5,3.0
6,8,22,6.3333335,0.6,0.0,1.6666666,NaN
6,8,24,8.0,0.6,0.2,1.6666666,3.0
6,8,26,21.0,0.4,0.0,2.0,NaN
6,8,28,4.25,0.8,0.2,2.0,3.0
6,8,30,3.0,1.0,0.4,2.2,3.0
6,8,32,8.666667,0.6,0.4,2.3333333,3.0
6,8,34,20.5,0.4,0.2,3.0,3.0
6,8,36,14.333333,0.6,0.4,2.3333333,3.0
6,8,38,7.75,0.8,0.4,3.0,3.0
6,8,40,15.333333,0.6,0.4,2.3333333,3.0
6,8,42,8.333333,0.6,0.4,2.3333333,3.0
6,8,44,5.6666665,0.6,0.4,3.0,3.0
6,8,46,5.5,0.8,0.6,3.0,3.0
6,8,48,4.0,1.0,0.4,3.0,3.0
6,8,50,9.0,0.8,0.2,2.5,3.0
6,8,52,8.75,0.8,0.0,2.0,NaN
6,8,54,19.333334,0.6,0.0,1.6666666,NaN
6,8,56,5.2,1.0,0.6,2.6,3.0
6,8,58,6.0,1.0,0.4,2.2,3.0
6,8,60,14.0,0.6,0.2,1.6666666,3.0
6,8,62,6.5,0.8,0.2,2.0,3.0
6,8,64,4.0,1.0,0.4,2.6,3.0
6,8,66,21.333334,0.6,0.2,2.3333333,3.0
6,8,68,10.0,0.8,0.6,2.5,3.0
6,8,70,5.2,1.0,0.4,2.6,3.0
6,8,72,13.5,0.8,0.2,2.0,3.0
6,8,74,5.6,1.0,0.4,3.0,3.0
6,8,76,11.75,0.8,0.0,1.5,NaN
6,8,78,23.666666,0.6,0.2,2.3333333,3.0
6,8,80,7.5,0.8,0.4,2.5,3.0
6,8,82,70.0,0.2,0.0,1.0,NaN
6,8,84,27.0,0.6,0.0,2.3333333,NaN
6,8,86,31.333334,0.6,0.4,3.0,3.0
6,8,88,14.0,0.8,0.0,3.0,NaN
6,8,90,16.0,0.6,0.2,2.3333333,3.0
6,8,92,10.75,0.8,0.8,3.0,3.0
6,8,94,8.6,1.0,0.4,2.6,3.0
6,8,96,24.0,0.4,0.4,3.0,3.0
8,2,2,6.0,0.4,0.2,2.0,3.0
8,2,4,6.0,0.6,0.0,2.3333333,NaN
8,2,6,3.75,0.8,0.4,2.0,3.0
8,2,8,6.6666665,0.6,0.2,2.3333333,3.0
8,2,10,13.0,0.4,0.2,2.0,3.0
8,2,12,17.5,0.4,0.4,3.0,3.0
8,2,14,8.333333,0.6,0.4,2.3333333,3.0
8,2,16,5.0,0.6,0.2,1.6666666,3.0
8,2,18,15.5,0.4,0.2,3.0,3.0
8,2,20,49.0,0.2,0.2,3.0,3.0
8,2,22,10.0,0.6,0.4,3.0,3.0
8,2,24,18.0,0.2,0.2,3.0,3.0
8,2,26,13.0,0.6,0.4,3.0,3.0
8,2,28,Infinity,0.0,0.0,NaN,NaN
8,2,30,2.6666667,0.6,0.6,3.0,3.0
8,2,32,9.5,0.4,0.4,3.0,3.0
8,4,2,8.0,0.4,0.0,2.0,NaN
8,4,4,3.75,0.8,0.2,2.0,3.0
8,4,6,4.3333335,0.6,0.2,2.3333333,3.0
8,4,8,3.4,1.0,0.2,2.6,3.0
8,4,10,3.25,0.8,0.2,2.5,3.0
8,4,12,6.0,0.6,0.4,3.0,3.0
8,4,14,10.0,0.4,0.2,2.0,3.0
8,4,16,7.3333335,0.6,0.2,2.3333333,3.0
8,4,18,27.0,0.2,0.0,3.0,NaN
8,4,20,6.3333335,0.6,0.2,2.3333333,3.0
8,4,22,6.25,0.8,0.4,2.5,3.0
8,4,24,5.5,0.8,0.2,2.5,3.0
8,4,26,57.0,0.2,0.0,3.0,NaN
8,4,28,3.8,1.0,0.4,2.2,3.0
8,4,30,16.333334,0.6,0.0,2.3333333,NaN
8,4,32,5.75,0.8,0.4,2.5,3.0
8,4,34,22.666666,0.6,0.2,2.3333333,3.0
8,4,36,55.0,0.2,0.0,3.0,NaN
8,4,38,25.0,0.4,0.2,2.0,3.0
8,4,40,5.0,0.8,0.2,2.5,3.0
8,4,42,7.5,0.8,0.2,2.5,3.0
8,4,44,8.333333,0.6,0.4,2.3333333,3.0
8,4,46,20.0,0.4,0.2,3.0,3.0
8,4,48,101.0,0.2,0.0,1.0,NaN
8,4,50,90.0,0.2,0.2,3.0,3.0
8,4,52,2.6,1.0,0.8,3.0,3.0
8,4,54,17.666666,0.6,0.2,2.3333333,3.0
8,4,56,4.0,1.0,0.6,2.6,3.0
8,4,58,70.0,0.2,0.0,1.0,NaN
8,4,60,20.333334,0.6,0.6,3.0,3.0
8,4,62,17.0,0.6,0.4,3.0,3.0
8,4,64,27.0,0.4,0.4,3.0,3.0
8,6,2,3.0,0.8,0.2,3.0,3.0
8,6,4,4.3333335,0.6,0.0,1.0,NaN
8,6,6,9.0,0.4,0.0,2.0,NaN
8,6,8,4.3333335,0.6,0.0,1.6666666,NaN
8,6,10,9.5,0.4,0.2,2.0,3.0
8,6,12,23.0,0.2,0.0,3.0,NaN
8,6,14,11.0,0.4,0.0,2.0,NaN
8,6,16,3.6,1.0,0.2,2.2,3.0
8,6,18,4.5,0.8,0.0,2.0,NaN
8,6,20,8.0,0.6,0.2,1.6666666,3.0
8,6,22,10.0,0.6,0.0,1.0,NaN
8,6,24,5.6666665,0.6,0.4,3.0,3.0
8,6,26,6.25,0.8,0.2,1.5,3.0
8,6,28,14.0,0.4,0.2,3.0,3.0
8,6,30,6.0,0.6,0.6,3.0,3.0
8,6,32,12.666667,0.6,0.4,2.3333333,3.0
8,6,34,5.5,0.8,0.6,3.0,3.0
8,6,36,11.0,0.6,0.2,1.6666666,3.0
8,6,38,10.333333,0.6,0.4,2.3333333,3.0
8,6,40,9.0,0.6,0.4,3.0,3.0
8,6,42,9.75,0.8,0.0,2.5,NaN
8,6,44,8.5,0.8,0.4,2.0,3.0
8,6,46,12.333333,0.6,0.4,3.0,3.0
8,6,48,6.75,0.8,0.2,2.5,3.0
8,6,50,13.75,0.8,0.2,1.5,3.0
8,6,52,6.75,0.8,0.2,3.0,3.0
8,6,54,22.5,0.4,0.0,3.0,NaN
8,6,56,84.0,0.2,0.2,3.0,3.0
8,6,58,5.0,1.0,0.2,2.6,3.0
8,6,60,2.8,1.0,0.4,1.8,3.0
8,6,62,23.0,0.6,0.4,2.3333333,3.0
8,6,64,15.666667,0.6,0.2,2.3333333,3.0
8,6,66,9.25,0.8,0.6,2.5,3.0
8,6,68,8.666667,0.6,0.6,3.0,3.0
8,6,70,8.2,1.0,0.4,2.6,3.0
8,6,72,21.0,0.6,0.4,2.3333333,3.0
8,6,74,7.75,0.8,0.4,2.0,3.0
8,6,76,39.0,0.4,0.2,3.0,3.0
8,6,78,94.0,0.2,0.0,3.0,NaN
8,6,80,21.5,0.4,0.0,2.0,NaN
8,6,82,9.5,0.8,0.8,3.0,3.0
8,6,84,36.0,0.4,0.2,3.0,3.0
8,6,86,20.0,0.6,0.0,1.6666666,NaN
8,6,88,60.5,0.4,0.2,2.0,3.0
8,6,90,16.0,0.6,0.4,3.0,3.0
8,6,92,14.0,0.6,0.4,2.3333333,3.0
8,6,94,7.75,0.8,0.4,2.5,3.0
8,6,96,152.0,0.2,0.2,3.0,3.0
8,8,2,2.4,1.0,0.0,1.8,NaN
8,8,4,4.3333335,0.6,0.0,3.0,NaN
8,8,6,3.3333333,0.6,0.2,3.0,3.0
8,8,8,4.0,0.8,0.0,1.5,NaN
8,8,10,3.25,0.8,0.0,1.0,NaN
8,8,12,23.0,0.2,0.2,3.0,3.0
8,8,14,9.5,0.4,0.0,2.0,NaN
8,8,16,3.5,0.8,0.2,2.0,3.0
8,8,18,3.0,1.0,0.0,2.2,NaN
8,8,20,11.333333,0.6,0.0,1.6666666,NaN
8,8,22,20.0,0.4,0.0,2.0,NaN
8,8,24,8.666667,0.6,0.2,3.0,3.0
8,8,26,9.0,0.4,0.4,3.0,3.0
8,8,28,18.5,0.4,0.2,3.0,3.0
8,8,30,34.0,0.2,0.0,3.0,NaN
8,8,32,3.0,1.0,0.4,3.0,3.0
8,8,34,18.0,0.4,0.4,2.0,3.0
8,8,36,7.25,0.8,0.2,2.5,3.0
8,8,38,9.0,0.6,0.4,2.3333333,3.0
8,8,40,10.0,0.6,0.6,3.0,3.0
8,8,42,6.75,0.8,0.4,2.5,3.0
8,8,44,7.5,0.8,0.2,2.0,3.0
8,8,46,15.5,0.4,0.2,3.0,3.0
8,8,48,17.666666,0.6,0.2,1.6666666,3.0
8,8,50,22.5,0.4,0.0,1.0,NaN
8,8,52,5.75,0.8,0.4,2.5,3.0
8,8,54,61.0,0.2,0.0,3.0,NaN
8,8,56,11.25,0.8,0.4,2.0,3.0
8,8,58,15.0,0.4,0.2,2.0,3.0
8,8,60,9.25,0.8,0.2,2.0,3.0
8,8,62,7.75,0.8,0.2,3.0,3.0
8,8,64,14.666667,0.6,0.4,3.0,3.0
8,8,66,39.0,0.4,0.0,2.0,NaN
8,8,68,19.0,0.6,0.4,3.0,3.0
8,8,70,115.0,0.2,0.2,3.0,3.0
8,8,72,38.5,0.4,0.2,2.0,3.0
8,8,74,10.25,0.8,0.4,3.0,3.0
8,8,76,24.666666,0.6,0.2,2.3333333,3.0
8,8,78,19.666666,0.6,0.4,3.0,3.0
8,8,80,13.25,0.8,0.4,2.5,3.0
8,8,82,16.333334,0.6,0.4,2.3333333,3.0
8,8,84,9.5,0.8,0.4,2.5,3.0
8,8,86,23.666666,0.6,0.0,3.0,NaN
8,8,88,17.666666,0.6,0.6,1.6666666,3.0
8,8,90,4.6,1.0,0.6,2.6,3.0
8,8,92,19.0,0.6,0.4,3.0,3.0
8,8,94,41.5,0.4,0.0,2.0,NaN
8,8,96,7.25,0.8,0.2,2.0,3.0
8,8,98,4.8,1.0,0.8,2.6,3.0
8,8,100,24.0,0.6,0.2,1.6666666,3.0
8,8,102,13.5,0.8,0.4,2.5,3.0
8,8,104,17.0,0.8,0.2,2.0,3.0
8,8,106,37.0,0.6,0.0,1.6666666,NaN
8,8,108,17.0,0.8,0.4,2.0,3.0
8,8,110,11.0,0.8,0.4,2.5,3.0
8,8,112,16.5,0.8,0.4,2.5,3.0
8,8,114,5.6,1.0,0.6,2.2,3.0
8,8,116,4.4,1.0,0.6,2.2,3.0
8,8,118,58.0,0.4,0.0,2.0,NaN
8,8,120,7.6,1.0,0.4,3.0,3.0
8,8,122,28.666666,0.6,0.2,3.0,3.0
8,8,124,32.666668,0.6,0.2,1.6666666,3.0
8,8,126,30.333334,0.6,0.6,3.0,3.0
8,8,128,3.4,1.0,0.6,2.6,3.0
