VALUES,ACTIONS,ARGUMENTS,AVERAGE LENGTH,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DIALOGUE SCORE,CONSENSUS SCORE
6,4,46,8.42,0.538,0.277,1.356,0.831
6,4,48,9.436,0.519,0.267,1.301,0.801
6,6,2,2.168,0.67,0.041,1.312,0.123
6,6,4,2.508,0.753,0.08,1.475,0.24
6,6,6,2.783,0.726,0.122,1.442,0.366
6,6,8,2.944,0.73,0.144,1.478,0.432
6,6,10,3.297,0.689,0.174,1.457,0.522
6,6,12,3.662,0.657,0.172,1.367,0.516
6,6,14,3.764,0.678,0.182,1.436,0.546
6,6,16,3.998,0.678,0.2,1.48,0.6
6,6,18,4.282,0.646,0.207,1.416,0.621
6,6,20,4.624,0.668,0.22,1.468,0.66
6,6,22,4.633,0.671,0.234,1.493,0.702
6,6,24,5.18,0.629,0.233,1.451,0.699
6,6,26,5.256,0.648,0.237,1.444,0.711
6,6,28,5.338,0.664,0.251,1.496,0.753
6,6,30,5.727,0.661,0.262,1.531,0.786
6,6,32,5.568,0.672,0.275,1.61,0.825
6,6,34,6.306,0.642,0.251,1.494,0.753
6,6,36,6.08,0.673,0.285,1.561,0.855
6,6,38,6.339,0.674,0.268,1.57,0.804
6,6,40,6.657,0.677,0.288,1.595,0.864
6,6,42,6.738,0.653,0.304,1.539,0.912
6,6,44,7.385,0.67,0.275,1.58,0.825
6,6,46,7.238,0.686,0.308,1.644,0.924
6,6,48,7.485,0.66,0.3,1.598,0.9
6,6,50,7.882,0.685,0.31,1.611,0.93
6,6,52,7.897,0.677,0.309,1.563,0.927
6,6,54,8.202,0.659,0.321,1.639,0.963
6,6,56,8.448,0.675,0.34,1.647,1.02
6,6,58,8.523,0.667,0.335,1.615,1.005
6,6,60,8.968,0.674,0.332,1.65,0.996
6,6,62,8.698,0.682,0.331,1.632,0.993
6,6,64,9.791,0.633,0.338,1.547,1.014
6,6,66,9.181,0.68,0.351,1.642,1.053
6,6,68,9.438,0.643,0.34,1.601,1.02
6,6,70,9.448,0.684,0.328,1.652,0.984
6,6,72,10.179,0.639,0.359,1.599,1.077
6,8,2,2.183,0.692,0.034,1.388,0.102
6,8,4,2.468,0.736,0.072,1.38,0.216
6,8,6,2.706,0.741,0.096,1.441,0.288
6,8,8,2.942,0.697,0.134,1.417,0.402
